area_type,region_level,region_name,sido,sigungu,sub_area,start_date,end_date,status,notice_no,notice_date,effective_date,source_name,source_url,confidence,note
조정대상지역,시군구,서울특별시 강남구,서울특별시,강남구,,2017-08-03,2023-01-04,ACTIVE,,2017-08-03,2017-08-03,MOLIT,,D_NEEDS_REVIEW,운영 전 공식 확인 필요
조정대상지역,시군구,서울특별시 서초구,서울특별시,서초구,,2017-08-03,2023-01-04,ACTIVE,,2017-08-03,2017-08-03,MOLIT,,D_NEEDS_REVIEW,운영 전 공식 확인 필요
조정대상지역,시군구,서울특별시 송파구,서울특별시,송파구,,2017-08-03,2023-01-04,ACTIVE,,2017-08-03,2017-08-03,MOLIT,,D_NEEDS_REVIEW,운영 전 공식 확인 필요
조정대상지역,시군구,서울특별시 강남구,서울특별시,강남구,,2023-01-05,,RELEASED,국토교통부공고 제2023-2호,2023-01-05,2023-01-05,MOLIT,https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17701,A_OFFICIAL,2023-01-05 지정 해제 공고 기준
조정대상지역,시군구,서울특별시 서초구,서울특별시,서초구,,2023-01-05,,RELEASED,국토교통부공고 제2023-2호,2023-01-05,2023-01-05,MOLIT,https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17701,A_OFFICIAL,2023-01-05 지정 해제 공고 기준
조정대상지역,시군구,서울특별시 송파구,서울특별시,송파구,,2023-01-05,,RELEASED,국토교통부공고 제2023-2호,2023-01-05,2023-01-05,MOLIT,https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17701,A_OFFICIAL,2023-01-05 지정 해제 공고 기준
조정대상지역,시군구,경기도 과천시,경기도,과천시,,2017-08-03,2023-01-04,ACTIVE,,2017-08-03,2017-08-03,MOLIT,,D_NEEDS_REVIEW,운영 전 공식 확인 필요
조정대상지역,시군구,경기도 과천시,경기도,과천시,,2023-01-05,,RELEASED,국토교통부공고 제2023-2호,2023-01-05,2023-01-05,MOLIT,https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17701,A_OFFICIAL,2023-01-05 지정 해제 공고 기준
조정대상지역,시군구,인천광역시 연수구,인천광역시,연수구,,2020-06-19,2022-11-13,ACTIVE,,2020-06-19,2020-06-19,MOLIT,,D_NEEDS_REVIEW,운영 전 공식 확인 필요
조정대상지역,시군구,인천광역시 연수구,인천광역시,연수구,,2022-11-14,,RELEASED,국토교통부공고 제2022-1436호,2022-11-10,2022-11-14,MOLIT,https://www.molit.go.kr,A_OFFICIAL,2022-11-14 지정 해제 공고 기준
조정대상지역,시군구,서울특별시 강동구,서울특별시,강동구,,2017-08-03,2023-01-04,ACTIVE,,2017-08-03,2017-08-03,MOLIT,,D_NEEDS_REVIEW,운영 전 공식 확인 필요
조정대상지역,시군구,서울특별시 강동구,서울특별시,강동구,,2023-01-05,,RELEASED,국토교통부공고 제2023-2호,2023-01-05,2023-01-05,MOLIT,https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17701,A_OFFICIAL,2023-01-05 지정 해제 공고 기준
조정대상지역,시군구,서울특별시 마포구,서울특별시,마포구,,2017-08-03,2023-01-04,ACTIVE,,2017-08-03,2017-08-03,MOLIT,,D_NEEDS_REVIEW,운영 전 공식 확인 필요
조정대상지역,시군구,서울특별시 마포구,서울특별시,마포구,,2023-01-05,,RELEASED,국토교통부공고 제2023-2호,2023-01-05,2023-01-05,MOLIT,https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17701,A_OFFICIAL,2023-01-05 지정 해제 공고 기준
조정대상지역,시군구,서울특별시 성동구,서울특별시,성동구,,2017-08-03,2023-01-04,ACTIVE,,2017-08-03,2017-08-03,MOLIT,,D_NEEDS_REVIEW,운영 전 공식 확인 필요
조정대상지역,시군구,서울특별시 성동구,서울특별시,성동구,,2023-01-05,,RELEASED,국토교통부공고 제2023-2호,2023-01-05,2023-01-05,MOLIT,https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17701,A_OFFICIAL,2023-01-05 지정 해제 공고 기준
조정대상지역,시군구,서울특별시 광진구,서울특별시,광진구,,2017-08-03,2023-01-04,ACTIVE,,2017-08-03,2017-08-03,MOLIT,,D_NEEDS_REVIEW,운영 전 공식 확인 필요
조정대상지역,시군구,서울특별시 광진구,서울특별시,광진구,,2023-01-05,,RELEASED,국토교통부공고 제2023-2호,2023-01-05,2023-01-05,MOLIT,https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17701,A_OFFICIAL,2023-01-05 지정 해제 공고 기준
조정대상지역,시군구,서울특별시 영등포구,서울특별시,영등포구,,2017-08-03,2023-01-04,ACTIVE,,2017-08-03,2017-08-03,MOLIT,,D_NEEDS_REVIEW,운영 전 공식 확인 필요
조정대상지역,시군구,서울특별시 영등포구,서울특별시,영등포구,,2023-01-05,,RELEASED,국토교통부공고 제2023-2호,2023-01-05,2023-01-05,MOLIT,https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17701,A_OFFICIAL,2023-01-05 지정 해제 공고 기준
조정대상지역,시군구,서울특별시 양천구,서울특별시,양천구,,2017-08-03,2023-01-04,ACTIVE,,2017-08-03,2017-08-03,MOLIT,,D_NEEDS_REVIEW,운영 전 공식 확인 필요
조정대상지역,시군구,서울특별시 양천구,서울특별시,양천구,,2023-01-05,,RELEASED,국토교통부공고 제2023-2호,2023-01-05,2023-01-05,MOLIT,https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17701,A_OFFICIAL,2023-01-05 지정 해제 공고 기준
조정대상지역,시군구,서울특별시 강서구,서울특별시,강서구,,2017-08-03,2023-01-04,ACTIVE,,2017-08-03,2017-08-03,MOLIT,,D_NEEDS_REVIEW,운영 전 공식 확인 필요
조정대상지역,시군구,서울특별시 강서구,서울특별시,강서구,,2023-01-05,,RELEASED,국토교통부공고 제2023-2호,2023-01-05,2023-01-05,MOLIT,https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17701,A_OFFICIAL,2023-01-05 지정 해제 공고 기준
조정대상지역,시군구,서울특별시 노원구,서울특별시,노원구,,2017-08-03,2023-01-04,ACTIVE,,2017-08-03,2017-08-03,MOLIT,,D_NEEDS_REVIEW,운영 전 공식 확인 필요
조정대상지역,시군구,서울특별시 노원구,서울특별시,노원구,,2023-01-05,,RELEASED,국토교통부공고 제2023-2호,2023-01-05,2023-01-05,MOLIT,https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17701,A_OFFICIAL,2023-01-05 지정 해제 공고 기준
조정대상지역,시군구,서울특별시 동작구,서울특별시,동작구,,2017-08-03,2023-01-04,ACTIVE,,2017-08-03,2017-08-03,MOLIT,,D_NEEDS_REVIEW,운영 전 공식 확인 필요
조정대상지역,시군구,서울특별시 동작구,서울특별시,동작구,,2023-01-05,,RELEASED,국토교통부공고 제2023-2호,2023-01-05,2023-01-05,MOLIT,https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17701,A_OFFICIAL,2023-01-05 지정 해제 공고 기준
조정대상지역,시군구,서울특별시 종로구,서울특별시,종로구,,2017-08-03,2023-01-04,ACTIVE,,2017-08-03,2017-08-03,MOLIT,,D_NEEDS_REVIEW,운영 전 공식 확인 필요
조정대상지역,시군구,서울특별시 종로구,서울특별시,종로구,,2023-01-05,,RELEASED,국토교통부공고 제2023-2호,2023-01-05,2023-01-05,MOLIT,https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17701,A_OFFICIAL,2023-01-05 지정 해제 공고 기준
조정대상지역,시군구,서울특별시 중구,서울특별시,중구,,2017-08-03,2023-01-04,ACTIVE,,2017-08-03,2017-08-03,MOLIT,,D_NEEDS_REVIEW,운영 전 공식 확인 필요
조정대상지역,시군구,서울특별시 중구,서울특별시,중구,,2023-01-05,,RELEASED,국토교통부공고 제2023-2호,2023-01-05,2023-01-05,MOLIT,https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17701,A_OFFICIAL,2023-01-05 지정 해제 공고 기준
조정대상지역,시군구,경기도 성남시 분당구,경기도,성남시 분당구,,2017-08-03,2023-01-04,ACTIVE,,2017-08-03,2017-08-03,MOLIT,,D_NEEDS_REVIEW,운영 전 공식 확인 필요
조정대상지역,시군구,경기도 성남시 분당구,경기도,성남시 분당구,,2023-01-05,,RELEASED,국토교통부공고 제2023-2호,2023-01-05,2023-01-05,MOLIT,https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17701,A_OFFICIAL,2023-01-05 지정 해제 공고 기준
조정대상지역,시군구,경기도 성남시 수정구,경기도,성남시 수정구,,2017-08-03,2023-01-04,ACTIVE,,2017-08-03,2017-08-03,MOLIT,,D_NEEDS_REVIEW,운영 전 공식 확인 필요
조정대상지역,시군구,경기도 성남시 수정구,경기도,성남시 수정구,,2023-01-05,,RELEASED,국토교통부공고 제2023-2호,2023-01-05,2023-01-05,MOLIT,https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17701,A_OFFICIAL,2023-01-05 지정 해제 공고 기준
조정대상지역,시군구,경기도 하남시,경기도,하남시,,2017-08-03,2023-01-04,ACTIVE,,2017-08-03,2017-08-03,MOLIT,,D_NEEDS_REVIEW,운영 전 공식 확인 필요
조정대상지역,시군구,경기도 하남시,경기도,하남시,,2023-01-05,,RELEASED,국토교통부공고 제2023-2호,2023-01-05,2023-01-05,MOLIT,https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17701,A_OFFICIAL,2023-01-05 지정 해제 공고 기준
조정대상지역,시군구,경기도 광명시,경기도,광명시,,2017-08-03,2023-01-04,ACTIVE,,2017-08-03,2017-08-03,MOLIT,,D_NEEDS_REVIEW,운영 전 공식 확인 필요
조정대상지역,시군구,경기도 광명시,경기도,광명시,,2023-01-05,,RELEASED,국토교통부공고 제2023-2호,2023-01-05,2023-01-05,MOLIT,https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17701,A_OFFICIAL,2023-01-05 지정 해제 공고 기준
조정대상지역,시군구,경기도 성남시 중원구,경기도,성남시 중원구,,2020-06-19,2022-11-13,ACTIVE,,2020-06-19,2020-06-19,MOLIT,,D_NEEDS_REVIEW,운영 전 공식 확인 필요
조정대상지역,시군구,경기도 성남시 중원구,경기도,성남시 중원구,,2022-11-14,,RELEASED,국토교통부공고 제2022-1436호,2022-11-10,2022-11-14,MOLIT,https://www.molit.go.kr,A_OFFICIAL,2022-11-14 지정 해제 공고 기준
조정대상지역,시군구,경기도 고양시,경기도,고양시,,2020-06-19,2022-11-13,ACTIVE,,2020-06-19,2020-06-19,MOLIT,,D_NEEDS_REVIEW,운영 전 공식 확인 필요
조정대상지역,시군구,경기도 고양시,경기도,고양시,,2022-11-14,,RELEASED,국토교통부공고 제2022-1436호,2022-11-10,2022-11-14,MOLIT,https://www.molit.go.kr,A_OFFICIAL,2022-11-14 지정 해제 공고 기준
조정대상지역,시군구,경기도 남양주시,경기도,남양주시,,2020-06-19,2022-11-13,ACTIVE,,2020-06-19,2020-06-19,MOLIT,,D_NEEDS_REVIEW,운영 전 공식 확인 필요
조정대상지역,시군구,경기도 남양주시,경기도,남양주시,,2022-11-14,,RELEASED,국토교통부공고 제2022-1436호,2022-11-10,2022-11-14,MOLIT,https://www.molit.go.kr,A_OFFICIAL,2022-11-14 지정 해제 공고 기준
조정대상지역,시군구,경기도 수원시,경기도,수원시,,2020-06-19,2022-11-13,ACTIVE,,2020-06-19,2020-06-19,MOLIT,,D_NEEDS_REVIEW,운영 전 공식 확인 필요
조정대상지역,시군구,경기도 수원시,경기도,수원시,,2022-11-14,,RELEASED,국토교통부공고 제2022-1436호,2022-11-10,2022-11-14,MOLIT,https://www.molit.go.kr,A_OFFICIAL,2022-11-14 지정 해제 공고 기준
조정대상지역,시군구,경기도 용인시,경기도,용인시,,2020-06-19,2022-11-13,ACTIVE,,2020-06-19,2020-06-19,MOLIT,,D_NEEDS_REVIEW,운영 전 공식 확인 필요
조정대상지역,시군구,경기도 용인시,경기도,용인시,,2022-11-14,,RELEASED,국토교통부공고 제2022-1436호,2022-11-10,2022-11-14,MOLIT,https://www.molit.go.kr,A_OFFICIAL,2022-11-14 지정 해제 공고 기준
조정대상지역,시군구,경기도 안양시,경기도,안양시,,2020-06-19,2022-11-13,ACTIVE,,2020-06-19,2020-06-19,MOLIT,,D_NEEDS_REVIEW,운영 전 공식 확인 필요
조정대상지역,시군구,경기도 안양시,경기도,안양시,,2022-11-14,,RELEASED,국토교통부공고 제2022-1436호,2022-11-10,2022-11-14,MOLIT,https://www.molit.go.kr,A_OFFICIAL,2022-11-14 지정 해제 공고 기준
조정대상지역,시군구,경기도 의왕시,경기도,의왕시,,2020-06-19,2022-11-13,ACTIVE,,2020-06-19,2020-06-19,MOLIT,,D_NEEDS_REVIEW,운영 전 공식 확인 필요
